time_s,setpoint_deg,angle_deg,angular_rate_deg_s,control_torque_nm,wind_torque_nm
0.728,10.0,10.89308412797078,10.509369290519267,-0.012278224150286066,0.0
0.73,10.0,10.91264925412452,9.78256307686979,-0.012187989886620048,0.0
0.732,10.0,10.930792959794905,9.071852835193134,-0.01209053348161977,0.0
0.734,10.0,10.94754755427475,8.37729723992201,-0.011986178444927779,0.0
0.736,10.0,10.962945433131777,7.698939428512783,-0.011875243259544775,0.0
0.738,10.0,10.977019048101775,7.0368074849992075,-0.01175804128239309,0.0
0.74,10.0,10.989800877941809,6.390914920017238,-0.011634880652514125,0.0
0.742,10.0,11.00132340023584,5.761261147015608,-0.011506064206721678,0.0
0.744,10.0,11.0116190641446,5.147831954379653,-0.011371889402531997,0.0
0.746,10.0,11.020720264091016,4.550599973208426,-0.011232648248192374,0.0
0.748,10.0,11.02865931437201,3.969525140497427,-0.011088627239629662,0.0
0.75,10.0,11.035468424686995,3.404555157491518,-0.010940107304139496,0.0
0.752,10.0,11.041179676572963,2.8556259429844366,-0.010787363750638861,0.0
0.754,10.0,11.045825000735668,2.3226620813531063,-0.010630666226303811,0.0
0.756,10.0,11.049436155265923,1.8055772651264272,-0.010470278679414967,0.0
0.758,10.0,11.052044704729722,1.3042747318995234,-0.01030645932823497,0.0
0.76,10.0,11.053682000120553,0.8186476954155258,-0.010139460635741218,0.0
0.762,10.0,11.054379159661849,0.3485797706477811,-0.009969529290040392,0.0
0.764,10.0,11.0541670504473,-0.10605460727396797,-0.009796906190290411,0.0
0.766,10.0,11.053076270906422,-0.5453897704394685,-0.009621826437957427,0.0
0.768,10.0,11.051137134082477,-0.9695684119717852,-0.009444519333236912,0.0
0.77,10.0,11.048379651709668,-1.378741186404983,-0.009265208376469028,0.0
0.772,10.0,11.044833519076185,-1.7730663167418483,-0.009084111274379992,0.0
0.774,10.0,11.040528100659587,-2.1527092082983383,-0.008901439950982743,0.0
0.776,10.0,11.035492416520723,-2.5178420694321715,-0.008717400562971912,0.0
0.778,10.0,11.029755129442236,-2.868643539243927,-0.008532193519449652,0.0
0.78,10.0,11.023344532797575,-3.2052983223301963,-0.008346013505820796,0.0
0.782,10.0,11.016288539136257,-3.5279968306597906,-0.008159049511698458,0.0
0.784,10.0,11.008614669470985,-3.836934832635568,-0.007971484862661334,0.0
0.786,10.0,11.000350043252192,-4.132313109396387,-0.007783497255708138,0.0
0.788,10.0,10.99152136901538,-4.414337118405751,-0.007595258798255267,0.0
0.79,10.0,10.98215493568665,-4.683216664366024,-0.00740693605052632,0.0
0.792,10.0,10.97227660453167,-4.9391655774896535,-0.007218690071184392,0.0
0.794,10.0,10.961911801733367,-5.18240139915161,-0.007030676466060833,0.0
0.796,10.0,10.951085511583488,-5.41314507494022,-0.006843045439835103,0.0
0.798,10.0,10.939822270273254,-5.631620655116797,-0.006655941850524082,0.0
0.8,10.0,10.928146160268277,-5.838055002487877,-0.0064695052666409805,0.0
0.802,10.0,10.916080805252902,-6.032677507687562,-0.006283870026886643,0.0
0.804,10.0,10.903649365629178,-6.2157198118612484,-0.0060991653022378035,0.0
0.806,10.0,10.890874534555707,-6.387415536736176,-0.0059155151603006925,0.0
0.808,10.0,10.87777853451159,-6.548000022058459,-0.005733038631799665,0.0
0.81,10.0,10.864383114370847,-6.6977100703707615,-0.00555184977907346,0.0
0.812,10.0,10.850709546972649,-6.8367836990995,-0.005372057766454835,0.0
0.8140000000000001,10.0,10.836778627172817,-6.965459899915327,-0.005193766932411274,0.0
0.8160000000000001,10.0,10.822610670362167,-7.083978405325764,-0.00501707686332668,0.0
0.8180000000000001,10.0,10.808225511437257,-7.192579462454131,-0.004842082468807839,0.0
0.8200000000000001,10.0,10.793642504209348,-7.29150361395447,-0.004668874058401204,0.0
0.8220000000000001,10.0,10.778880521237333,-7.380991486007774,-0.004497537419608379,0.0
0.8240000000000001,10.0,10.763957954070651,-7.461283583340765,-0.004328153897090649,0.0
